Date deb;Date fin;Train;LU;MA;ME;JE;VE;SA;DI
2022-01-31;2022-07-02;865101;1;1;1;1;1;;
2022-01-31;2022-07-02;865102;1;1;1;1;1;;
2022-01-31;2022-07-02;865103;1;1;1;1;1;1;
2022-01-31;2022-07-02;865104;1;1;1;1;1;;
2022-01-31;2022-07-02;865105;1;1;1;1;1;;
2022-01-31;2022-07-02;865106;1;1;1;1;1;;
2022-01-31;2022-07-02;865107;1;1;1;1;1;;
2022-01-31;2022-07-02;865109;1;1;1;1;1;;
2022-01-31;2022-07-02;865111;;;;;;;1
2022-01-31;2022-07-02;865112;1;1;1;1;1;;
2022-01-31;2022-07-02;865113;1;1;1;1;1;1;
2022-01-31;2022-07-02;865114;;;;;;1;1
2022-01-31;2022-07-02;865118;1;1;1;1;1;;
2022-01-31;2022-07-02;865121;1;1;1;1;1;;
2022-01-31;2022-07-02;865122;1;1;1;1;1;1;1
2022-01-31;2022-07-02;865125;;;;;;1;1
2022-01-31;2022-07-02;865126;1;1;1;1;1;;
2022-01-31;2022-07-02;865127;1;1;1;1;1;;
2022-01-31;2022-07-02;865128;1;1;1;1;;;
2022-01-31;2022-07-02;865130;1;1;1;1;1;1;1
2022-01-31;2022-07-02;865130;1;1;1;1;1;1;1
2022-01-31;2022-07-02;865133;1;1;1;1;1;1;1
2022-01-31;2022-07-02;865134;1;1;1;1;1;;
2022-01-31;2022-07-02;865137;1;1;1;1;1;;
2022-01-31;2022-07-02;865138;1;1;1;1;1;;
2022-01-31;2022-07-02;865138;1;1;1;1;1;;
2022-01-31;2022-07-02;865139;1;1;1;1;1;;
2022-01-31;2022-07-02;865139;1;1;1;1;1;;
2022-01-31;2022-07-02;865301;1;1;1;1;1;;
2022-01-31;2022-07-02;865303;1;1;1;1;1;1;
2022-01-31;2022-07-02;865305;1;1;1;1;1;;
2022-01-31;2022-07-02;865306;1;1;1;1;1;;
2022-01-31;2022-07-02;865307;;;;;;1;
2022-01-31;2022-07-02;865309;1;1;1;1;1;;
2022-01-31;2022-07-02;865310;;;;;;1;1
2022-01-31;2022-07-02;865311;1;1;1;1;1;;1
2022-01-31;2022-07-02;865312;1;1;1;1;1;;
2022-01-31;2022-07-02;865313;1;1;1;1;1;1;
2022-01-31;2022-07-02;865316;1;1;1;1;1;1;1
2022-01-31;2022-07-02;865319;1;1;1;1;1;;
2022-01-31;2022-07-02;865320;1;1;1;1;1;;
2022-01-31;2022-07-02;865321;;;;;;1;1
2022-01-31;2022-07-02;865323;1;1;1;1;1;1;1
2022-01-31;2022-07-02;865324;1;1;1;1;1;1;1
2022-01-31;2022-07-02;865325;;;;;;;1
2022-01-31;2022-07-02;865326;1;1;1;1;1;;
2022-01-31;2022-07-02;865328;;;;;;;1
2022-01-31;2022-07-02;865331;1;1;1;1;1;1;1
2022-01-31;2022-07-02;865332;1;1;1;1;1;;
2022-01-31;2022-07-02;865336;1;1;1;1;1;;
2022-01-31;2022-07-02;865340;1;1;1;1;1;;1
2022-01-31;2022-07-02;865342;1;1;1;1;1;1;1
